Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2000,Total,Total,450,550,700,"1,705","9,140",-8.33%,-21.43%,-5.75%,69.65%
2000,Total,Bedsitter,300,350,400,86,352,-10.83%,-27.84%,10.26%,152.94%
2000,Total,1 Bedroom,420,490,550,836,"4,019",-2.00%,-22.22%,3.59%,50.09%
2000,Total,Not Specified,383,525,680,50,531,5.00%,-19.23%,-12.28%,100.00%
2000,Total,2 Bedrooms,590,670,770,653,"3,629",-4.29%,-24.72%,-10.06%,99.69%
2000,Total,3 Bedrooms,800,900,1100,73,562,-5.26%,-27.98%,-46.32%,30.36%
2000,Total,4 or more Bedrooms,-,-,-,-,47,-,-,-,-
2000,House,Total,508,648,700,44,176,-7.50%,-31.84%,12.82%,109.52%
2000,House,Bedsitter,-,-,-,-,-,-,-,-,-
2000,House,1 Bedroom,423,500,580,s,53,-20.00%,-26.47%,40.00%,180.00%
2000,House,Not Specified,-,-,-,-,-,-,-,-,-
2000,House,2 Bedrooms,600,670,700,s,73,-4.29%,-31.28%,16.67%,110.00%
2000,House,3 Bedrooms,-,-,-,-,s,-,-,-,-
2000,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2000,Other,Total,87,499,600,63,972,-0.20%,-15.28%,-18.18%,-72.84%
2000,Other,Bedsitter,50,50,60,s,63,0.00%,-23.08%,120.00%,22.22%
2000,Other,1 Bedroom,418,499,612,s,499,0.00%,-15.28%,-44.19%,-88.63%
2000,Other,Not Specified,50,383,500,s,248,282.50%,-44.16%,7.69%,250.00%
2000,Other,2 Bedrooms,523,575,690,s,136,-19.58%,-36.11%,-14.29%,71.43%
2000,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2000,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2000,Townhouse,Total,-,-,-,-,72,-,-,-,-
2000,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2000,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2000,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2000,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2000,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2000,Flat/Unit,Total,450,550,700,"1,592","7,920",-8.33%,-29.49%,-5.35%,114.56%
2000,Flat/Unit,Bedsitter,320,360,400,75,280,-9.43%,-29.41%,4.17%,200.00%
2000,Flat/Unit,1 Bedroom,420,490,550,796,"3,456",-2.00%,-24.62%,5.71%,134.81%
2000,Flat/Unit,Not Specified,431,610,693,36,278,1.67%,-4.69%,-18.18%,71.43%
2000,Flat/Unit,2 Bedrooms,590,670,770,619,"3,399",-4.96%,-23.86%,-10.03%,102.29%
2000,Flat/Unit,3 Bedrooms,800,905,1140,62,485,-6.70%,-35.36%,-49.59%,26.53%
2000,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2007,Total,Total,400,480,600,347,"1,979",-4.00%,-12.73%,-10.34%,2.66%
2007,Total,Bedsitter,300,330,350,s,39,-17.50%,-34.00%,0.00%,1200.00%
2007,Total,1 Bedroom,380,430,470,167,1001,-4.44%,-11.34%,-13.02%,-25.11%
2007,Total,Not Specified,-,-,-,-,63,-,-,-,-
2007,Total,2 Bedrooms,500,570,650,128,703,-5.00%,-32.94%,-6.57%,40.66%
2007,Total,3 Bedrooms,715,823,950,32,142,2.81%,-32.58%,0.00%,52.38%
2007,Total,4 or more Bedrooms,-,-,-,-,31,-,-,-,-
2007,House,Total,440,680,750,s,82,23.64%,-9.33%,31.25%,133.33%
2007,House,Bedsitter,-,-,-,-,-,-,-,-,-
2007,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2007,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2007,House,3 Bedrooms,-,-,-,-,s,-,-,-,-
2007,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2007,Other,Total,475,485,485,s,236,11.49%,22.17%,-50.00%,-89.13%
2007,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2007,Other,1 Bedroom,470,485,485,s,189,0.00%,22.78%,-51.85%,-90.37%
2007,Other,Not Specified,-,-,-,-,s,-,-,-,-
2007,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2007,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2007,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2007,Townhouse,Total,-,-,-,-,80,-,-,-,-
2007,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2007,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2007,Townhouse,2 Bedrooms,-,-,-,-,33,-,-,-,-
2007,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2007,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2007,Flat/Unit,Total,400,475,600,305,"1,581",-5.00%,-30.15%,-7.01%,70.39%
2007,Flat/Unit,Bedsitter,-,-,-,-,32,-,-,-,-
2007,Flat/Unit,1 Bedroom,372,420,460,147,786,-6.67%,-24.32%,-8.13%,70.93%
2007,Flat/Unit,Not Specified,-,-,-,-,31,-,-,-,-
2007,Flat/Unit,2 Bedrooms,500,565,640,121,634,-5.83%,-36.52%,-6.92%,57.14%
2007,Flat/Unit,3 Bedrooms,750,845,925,s,94,1.20%,-36.23%,4.55%,64.29%
2007,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2008,Total,Total,423,490,575,915,4514,-7.55%,-8.41%,11.45%,38.85%
2008,Total,Bedsitter,432,482,517,142,637,-4.93%,-4.17%,75.31%,10.08%
2008,Total,1 Bedroom,400,460,500,518,2259,-8.00%,-13.04%,11.64%,36.68%
2008,Total,Not Specified,30,40,430,s,358,-91.84%,-93.09%,-5.56%,-54.05%
2008,Total,2 Bedrooms,550,640,725,181,869,1.59%,-14.67%,-3.21%,135.06%
2008,Total,3 Bedrooms,700,838,958,38,265,2.76%,-8.97%,-22.45%,65.22%
2008,Total,4 or more Bedrooms,920,1050,1150,s,126,11.70%,-6.67%,-13.64%,35.71%
2008,House,Total,580,700,900,60,323,1.45%,-17.65%,-6.25%,87.50%
2008,House,Bedsitter,-,-,-,-,-,-,-,-,-
2008,House,1 Bedroom,-,-,-,-,36,-,-,-,-
2008,House,Not Specified,-,-,-,-,-,-,-,-,-
2008,House,2 Bedrooms,580,615,679,s,111,0.82%,-5.38%,10.00%,144.44%
2008,House,3 Bedrooms,740,875,910,s,92,14.75%,-2.78%,-6.25%,66.67%
2008,House,4 or more Bedrooms,835,1025,1100,s,73,7.89%,-12.77%,0.00%,40.00%
2008,Other,Total,468,498,518,155,1096,-2.16%,-0.20%,56.57%,-36.73%
2008,Other,Bedsitter,468,498,518,113,507,-4.78%,-0.99%,82.26%,-5.04%
2008,Other,1 Bedroom,399,499,629,s,330,-0.20%,19.09%,-27.59%,-81.58%
2008,Other,Not Specified,30,30,200,s,203,-88.00%,-94.82%,333.33%,18.18%
2008,Other,2 Bedrooms,-,-,-,-,37,-,-,-,-
2008,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2008,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2008,Townhouse,Total,599,725,1074,s,196,-3.33%,-5.84%,-18.52%,37.50%
2008,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2008,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2008,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2008,Townhouse,2 Bedrooms,-,-,-,-,60,-,-,-,-
2008,Townhouse,3 Bedrooms,-,-,-,-,51,-,-,-,-
2008,Townhouse,4 or more Bedrooms,-,-,-,-,44,-,-,-,-
2008,Flat/Unit,Total,420,480,550,678,2899,-7.69%,-19.19%,7.45%,85.25%
2008,Flat/Unit,Bedsitter,350,390,400,s,122,-2.50%,-20.08%,55.56%,180.00%
2008,Flat/Unit,1 Bedroom,400,460,500,482,1864,-8.00%,-15.90%,16.14%,86.10%
2008,Flat/Unit,Not Specified,-,-,-,-,140,-,-,-,-
2008,Flat/Unit,2 Bedrooms,533,650,740,151,661,3.17%,-19.75%,-5.03%,143.55%
2008,Flat/Unit,3 Bedrooms,690,880,1050,s,108,3.53%,-6.38%,-45.83%,44.44%
2008,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2009,Total,Total,450,550,680,543,3247,-7.56%,-23.08%,4.02%,89.86%
2009,Total,Bedsitter,315,328,358,s,41,-27.22%,-30.32%,1100.00%,300.00%
2009,Total,1 Bedroom,395,425,480,159,991,-10.53%,-24.11%,-4.22%,76.67%
2009,Total,Not Specified,510,560,605,s,133,-6.67%,-49.09%,-8.33%,57.14%
2009,Total,2 Bedrooms,520,590,691,292,1677,-4.39%,-21.33%,6.57%,98.64%
2009,Total,3 Bedrooms,719,893,"1,213",68,381,-0.28%,-15.00%,9.68%,94.29%
2009,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2009,House,Total,520,615,699,s,100,0.41%,-17.17%,-46.15%,75.00%
2009,House,Bedsitter,-,-,-,-,-,-,-,-,-
2009,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2009,House,Not Specified,-,-,-,-,-,-,-,-,-
2009,House,2 Bedrooms,-,-,-,-,48,-,-,-,-
2009,House,3 Bedrooms,-,-,-,-,s,-,-,-,-
2009,House,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2009,Other,Total,338,400,431,s,172,-36.51%,-34.96%,-20.00%,50.00%
2009,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2009,Other,1 Bedroom,-,-,-,-,51,-,-,-,-
2009,Other,Not Specified,-,-,-,-,47,-,-,-,-
2009,Other,2 Bedrooms,-,-,-,-,65,-,-,-,-
2009,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2009,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2009,Townhouse,Total,510,680,950,s,94,0.00%,-2.86%,21.43%,54.55%
2009,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2009,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2009,Townhouse,2 Bedrooms,-,-,-,-,50,-,-,-,-
2009,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2009,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2009,Flat/Unit,Total,450,550,680,500,2881,-5.17%,-23.61%,7.07%,93.05%
2009,Flat/Unit,Bedsitter,-,-,-,-,32,-,-,-,-
2009,Flat/Unit,1 Bedroom,396,430,480,150,912,-9.47%,-21.82%,-6.25%,85.19%
2009,Flat/Unit,Not Specified,-,-,-,-,82,-,-,-,-
2009,Flat/Unit,2 Bedrooms,525,590,683,272,1514,-3.28%,-22.37%,13.81%,100.00%
2009,Flat/Unit,3 Bedrooms,743,898,1213,60,332,-0.28%,-13.70%,9.09%,87.50%
2009,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2010,Total,Total,400,518,680,1158,"8,521",-5.91%,-17.86%,-6.61%,30.41%
2010,Total,Bedsitter,285,325,380,95,697,-7.14%,-16.67%,-4.04%,35.71%
2010,Total,1 Bedroom,385,450,538,579,"3,799",-2.17%,-15.89%,-6.76%,39.86%
2010,Total,Not Specified,280,350,600,s,680,-10.26%,-33.96%,23.53%,0.00%
2010,Total,2 Bedrooms,550,650,750,338,2411,-6.47%,-16.13%,-6.63%,25.19%
2010,Total,3 Bedrooms,795,900,1195,85,640,0.56%,-10.00%,-8.60%,7.59%
2010,Total,4 or more Bedrooms,919,"1,100","1,313",40,294,0.00%,-12.00%,-16.67%,17.65%
2010,House,Total,545,725,925,177,1010,0.69%,-14.71%,-12.81%,39.37%
2010,House,Bedsitter,-,-,-,-,44,-,-,-,-
2010,House,1 Bedroom,358,435,549,42,203,-12.12%,-20.91%,-14.29%,82.61%
2010,House,Not Specified,-,-,-,-,s,-,-,-,-
2010,House,2 Bedrooms,600,688,784,56,336,-1.79%,-14.06%,-20.00%,51.35%
2010,House,3 Bedrooms,800,900,1063,48,263,0.28%,-2.17%,0.00%,29.73%
2010,House,4 or more Bedrooms,975,1200,1495,s,151,7.87%,-17.24%,-10.71%,31.58%
2010,Other,Total,70,225,366,s,866,-35.71%,-50.00%,7.69%,3.70%
2010,Other,Bedsitter,-,-,-,-,145,-,-,-,-
2010,Other,1 Bedroom,210,220,260,s,202,-37.14%,-47.31%,22.22%,-8.33%
2010,Other,Not Specified,70,290,703,s,381,-27.50%,-57.97%,57.14%,175.00%
2010,Other,2 Bedrooms,-,-,-,-,107,-,-,-,-
2010,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2010,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2010,Townhouse,Total,575,715,900,60,541,-10.62%,-10.06%,-14.29%,-11.76%
2010,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2010,Townhouse,1 Bedroom,-,-,-,-,58,-,-,-,-
2010,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-
2010,Townhouse,2 Bedrooms,590,608,673,s,203,-6.54%,-19.00%,10.00%,-37.14%
2010,Townhouse,3 Bedrooms,798,900,1150,s,164,2.86%,-14.29%,-37.50%,-11.76%
2010,Townhouse,4 or more Bedrooms,800,900,1100,s,99,-18.18%,-21.74%,-13.33%,44.44%
2010,Flat/Unit,Total,400,495,620,893,"6,104",-1.00%,-16.81%,-5.10%,34.08%
2010,Flat/Unit,Bedsitter,290,325,380,85,503,-7.14%,-17.72%,1.19%,60.38%
2010,Flat/Unit,1 Bedroom,390,450,540,516,"3,336",-2.17%,-15.89%,-6.69%,37.97%
2010,Flat/Unit,Not Specified,-,-,-,-,274,-,-,-,-
2010,Flat/Unit,2 Bedrooms,550,645,750,259,1765,-6.52%,-16.77%,-4.07%,31.47%
