Station,Latitude,Longitude
Mount Kuring-gai Railway Station,-33.6530641,151.1368864
Ingleburn Railway Station,-33.9983333,150.8511111
Yennora Railway Station,-33.8620079,150.9686096
Epping Railway Station,-33.7728628,151.0820902
Rooty Hill Railway Station,-33.7688649,150.8411802
Kirrawee Railway Station,-34.0344781,151.0726428
Homebush Railway Station,-33.860451,151.0806118
Hurlstone Park Railway Station,-33.91,151.1286111
Marrickville Railway Station,-33.9139432,151.1535512
Waverton Railway Station,-33.8383333,151.1986892
Roseville Railway Station,-33.7826456,151.1827257
Stanmore Railway Station,-33.8936689,151.1656456
Westmead Railway Station,-33.8084959,150.9880176
Heathcote Railway Station,-34.0848266,151.007392
Macdonaldtown Railway Station,-33.8969053,151.1858923
Edmondson Park Railway Station,-33.9628336,150.8563294
St Peters Railway Station,-33.9159472,151.176332
Cabramatta Railway Station,-33.8983188,150.9344502
Strathfield Railway Station,-33.8791285,151.0811758
St Leonards Railway Station,-33.8225666,151.1923402
Seven Hills Railway Station,-33.7760305,150.9427044
Casula Railway Station,-33.9522222,150.8952778
Newtown Railway Station,-33.8961132,151.1801893
Revesby Railway Station,-33.9436876,151.0137191
Mortdale Railway Station,-33.9672997,151.0721865
Wolli Creek Railway Station,-33.9285225,151.1539888
Loftus Railway Station,-34.0434357,151.0504559
Emu Plains Railway Station,-33.7483333,150.6677778
Guildford Railway Station,-33.8561049,150.9939232
Green Square Railway Station,-33.9061988,151.2024361
Chester Hill Railway Station,-33.8816667,151.0011111
Mount Colah Railway Station,-33.6719686,151.1145291
Lewisham Railway Station,-33.8953868,151.1466449
Waitara Railway Station,-33.7094453,151.1055581
Dulwich Hill Railway Station,-33.9045849,151.1386091
Marayong Railway Station,-33.7491667,150.8919444
Windsor Railway Station,-33.6055342,150.821953
Clyde Railway Station,-33.833532,151.0218891
Toongabbie Railway Station,-33.7866894,150.9526498
Bardwell Park Railway Station,-33.9355556,151.1238889
Lidcombe Railway Station,-33.8630649,151.0456771
Auburn Railway Station,-33.8545702,151.0255673
Eastwood Railway Station,-33.790128,151.0822564
Birrong Railway Station,-33.8918622,151.0201957
Berala Railway Station,-33.8753943,151.0343253
Artarmon Railway Station,-33.8094124,151.1857609
Kingsgrove Railway Station,-33.9371844,151.0996523
Minto Railway Station,-34.0316667,150.8511111
Merrylands Railway Station,-33.8350765,150.9860379
St James Railway Station,-33.8708706,151.2119021
Penrith Railway Station,-33.7510792,150.6941684
Caringbah Railway Station,-34.0354477,151.1248018
Killara Railway Station,-33.7660606,151.1601121
Museum Railway Station,-33.8765492,151.2097313
Turramurra Railway Station,-33.7354346,151.1300645
Pennant Hills Railway Station,-33.7379225,151.0725562
Pendle Hill Railway Station,-33.7983305,150.959439
Denistone Railway Station,-33.7989066,151.0887
Bankstown Railway Station,-33.9171897,151.0335881
Clarendon Railway Station,-33.6105511,150.7888909
Asquith Railway Station,-33.6871935,151.1110257
Ashfield Railway Station,-33.8894781,151.1274125
Harris Park Railway Station,-33.8224029,151.0117558
Beecroft Railway Station,-33.7497631,151.0657475
Fairfield Railway Station,-33.8728065,150.9523529
Wahroonga Railway Station,-33.720367,151.1142463
Werrington Railway Station,-33.758666,150.7579617
Engadine Railway Station,-34.0678555,151.014722
Cheltenham Railway Station,-33.7569444,151.0775
Gordon Railway Station,-33.7553899,151.1518099
Erskineville Railway Station,-33.9021718,151.1859881
Rockdale Railway Station,-33.9542619,151.1403655
Central Railway Station,,
Hornsby Railway Station,-33.7034766,151.0983656
